Node Pair,Direction,Street
AB,E,on Granite Ave
AC,S,on a direct route
AD,S,on a direct route past JGC and then head West
AE,S,on a direct route past JGC and then head East
A2B2,S,on a direct route
A2C2,SW,across Redwood Plaza
A2O,NW,across Redwood Plaza
A2Q,NE,on a direct route
BA,W,on Granite Ave
BD,W,on Granite Ave past JGC and then head West
BE,W,on Granite Ave past JGC and then head East
BH,W,on Granite Ave past JGC and then head Eest past University Center
B2A2,N,on a direct route
B2C2,NW,on a direct route
B2K2,S,on Union Street
B2Q,,
B2Y,,
BSC2,,
CA,,
CD,,
CE,,
C2A2,,
C2B2,,
C2D2,,
C2J2,,
C2K2,,
C2Q,,
C2T,,
DC,,
DE,,
DF,,
DG,,
DK,,
DN,,
D2E2,,
D2I2,,
D2J2,,
D2L2,,
D2V,,
D2Y,,
D2Z,,
EA,,
EB,,
EC,,
ED,,
EH,,
EJ,,
EX,,
E2D2,,
E2F2,,
E2G2,,
E2H2,,
E2I2,,
E2X,,
FC,,
FI,,
FL,,
F2E2,,
F2G2,,
F2H2,,
F2N2,,
F2X,,
GD20.0,,
GE37.0,,
GJ55.42857142857143,,
GN21.15,,
G2E2,,
G2H2,,
G2I2,,
G2N2,,
HC2,,
HJ,,
HM,,
HO,,
HP,,
HV,,
H2F2,,
H2G2,,
H2M2,,
H2N2,,
IF,,
IK,,
IL,,
IP,,
I2D2,,
I2E2,,
I2L2,,
I2M2,,
I2Q2,,
I2R2,,
JB,,
JD,,
JE,,
JG,,
JH,,
JN,,
JR,,
J2B2,,
J2D2,,
J2J,,
J2L2,,
KD,,
KG,,
KI,,
KN,,
KO,,
K2B2,,
K2L2,,
K2O2,,
LF,,
LI,,
LK,,
LN,,
LP,,
LS,,
LU,,
L2I2,,
L2J2,,
L2K2,,
L2R2,,
MG,,
MH,,
MO,,
MT,,
MV,,
MZ,,
M2E2,,
M2G2,,
M2I2,,
M2P2,,
M2R2,,
M2T2,,
NG,,
NH,,
NJ,,
NK,,
NL,,
NP,,
N2G2,,
N2H2,,
N2M2,,
N2Q2,,
N2S2,,
N2T2,,
N2V,,
OA2,,
OE,,
OM,,
OQ,,
OT,,
O2K2,,
O2P2,,
PL,,
PN,,
PR,,
P2D2,,
P2I2,,
P2M2,,
P2N,,
P2O2,,
P2Q2,,
P2R2,,
P2T2,,
QA2,,
QM,,
QO,,
QT,,
QZ,,
Q2M2,,
Q2N2,,
Q2O2,,
Q2S2,,
Q2T2,,
RH,,
RP,,
RU,,
RV,,
R2G2,,
R2K2,,
R2M2,,
R2O2,,
R2P2,,
R2T2,,
SU,,
SW,,
SX,,
S2F,,
S2N2,,
S2Q2,,
S2T2,,
TC2,,
TI2,,
TM,,
TQ,,
TZ,,
T2A2,,
T2P2,,
T2Q2,,
T2R2,,
T2Z,,
UP,,
UR,,
US,,
UV,,
UW,,
UY,,
VO,,
VR,,
VU,,
VY,,
VZ,,
WU,,
WX,,
WY,,
XE2,,
XS,,
XW,,
YE2,,
YF2,,
YI2,,
YN2,,
YP,,
YS,,
YU,,
YW,,
YX,,
YZ,,
ZD2,,
ZM,,
ZT,,
ZV,,
ZY,,
